"weekday","Age","Gender","Alcohol_Results","Drug_Involvement","Atmospheric_Condition","Roadway","Fatality"
6,18,"Female",,"Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
2,54,"Female",,"No","Rain","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
7,29,"Male","0.21","Not Reported","Cloudy","Rural-Minor Collector","fatal"
5,55,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
2,54,"Male","0.34","Unknown","Clear","Rural-Local Road or Street","fatal"
6,29,"Female",,"Not Reported","Clear","Rural-Local Road or Street","no_fatal"
5,22,"Male",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
6,24,"Male","0.0","Not Reported","Cloudy","Rural-Principal Arterial-Interstate","no_fatal"
7,21,"Female",,"No","Clear","Rural-Principal Arterial-Interstate","no_fatal"
7,29,"Male","0.1","Unknown","Cloudy","Rural-Major Collector","no_fatal"
6,48,"Male","0.16","Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
3,65,"Male",,"Not Reported","Cloudy","Rural-Principal Arterial-Interstate","no_fatal"
4,11,"Male",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
4,57,"Male",,"Not Reported","Clear","Rural-Minor Collector","fatal"
7,50,"Male","0.17","Unknown","Clear","Rural-Major Collector","fatal"
5,53,"Female","0.0","Not Reported","Clear","Urban-Other Principal Arterial","fatal"
7,26,"Female",,"Not Reported","Clear","Rural-Minor Arterial","fatal"
5,16,"Male","0.0","No","Clear","Rural-Local Road or Street","no_fatal"
6,12,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
7,30,"Male",,"Not Reported","Clear","Urban-Local Road or Street","no_fatal"
6,31,"Male",,"Not Reported","Clear","Urban-Local Road or Street","no_fatal"
5,36,"Male",,"No","Clear","Rural-Major Collector","no_fatal"
5,40,"Male","0.0","No","Clear","Rural-Local Road or Street","no_fatal"
5,55,"Male",,"No","Clear","Urban-Local Road or Street","no_fatal"
7,11,"Female",,"Not Reported","Clear","Rural-Unknown Rural","no_fatal"
5,30,"Male","0.17","Not Reported","Clear","Rural-Local Road or Street","fatal"
2,28,"Male","0.09","Not Reported","Clear","Urban-Local Road or Street","no_fatal"
2,42,"Male","0.19","No","Clear","Rural-Major Collector","fatal"
5,24,"Female",,"Not Reported","Sleet, Hail (Freezing Rain or Drizzle)","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
3,24,"Male",,"Not Reported","Clear","Rural-Local Road or Street","no_fatal"
1,67,"Female",,"Not Reported","Snow","Rural-Principal Arterial-Interstate","no_fatal"
3,56,"Female","0.24","Unknown","Clear","Rural-Principal Arterial-Other","fatal"
3,20,"Male",,"Not Reported","Cloudy","Urban-Principal Arterial-Interstate","no_fatal"
1,69,"Female","\N","Not Reported","Clear","Rural-Principal Arterial-Interstate","fatal"
2,25,"Male",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
3,23,"Male",,"No","Rain","Urban-Other Principal Arterial","no_fatal"
1,28,"Male",,"Unknown","Clear","Urban-Local Road or Street","no_fatal"
2,29,"Female","0.0","Not Reported","Cloudy","Rural-Major Collector","no_fatal"
7,45,"Male",,"No","Cloudy","Urban-Local Road or Street","no_fatal"
5,9,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
3,16,"Female","0.16","Not Reported","Clear","Rural-Unknown Rural","fatal"
2,50,"Male",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
5,22,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
7,27,"Male",,"No","Clear","Urban-Collector","no_fatal"
2,55,"Male","0.0","No","Clear","Rural-Principal Arterial-Interstate","no_fatal"
3,17,"Female",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
6,36,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
6,21,"Female",,"No","Clear","Rural-Local Road or Street","fatal"
4,75,"Male",,"No","Clear","Rural-Minor Arterial","no_fatal"
7,2,"Male",,"Not Reported","Clear","Urban-Local Road or Street","no_fatal"
2,41,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
3,47,"Male",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
2,21,"Male",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
2,32,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
6,43,"Female","0.0","Unknown","Clear","Urban-Other Principal Arterial","fatal"
6,21,"Male","0.0","No","Clear","Urban-Other Principal Arterial","fatal"
4,16,"Male",,"Not Reported","Clear","Rural-Major Collector","fatal"
6,30,"Male",,"Not Reported","Clear","Rural-Local Road or Street","no_fatal"
7,52,"Male","0.15","Unknown","Clear","Rural-Minor Arterial","no_fatal"
7,,"\N",,"Not Reported","Clear","Urban-Collector","no_fatal"
7,17,"Female",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
6,28,"Male","0.08","Not Reported","Cloudy","Rural-Principal Arterial-Other","no_fatal"
1,12,"Male",,"No","Clear","Rural-Minor Arterial","no_fatal"
7,23,"Male","0.13","Unknown","Clear","Rural-Major Collector","no_fatal"
3,56,"Male","0.0","Unknown","Clear","Urban-Other Principal Arterial","fatal"
